customerID,tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,Churn
CUST0,51,118.95,1353.73,Month-to-month,Electronic check,No
CUST1,14,88.43,3269.25,Month-to-month,Bank transfer,No
CUST2,71,114.9,1873.54,Month-to-month,Mailed check,No
CUST3,60,34.26,4287.71,One year,Bank transfer,Yes
CUST4,20,58.21,1606.65,Two year,Electronic check,No
CUST5,23,75.47,4077.08,Month-to-month,Credit card,No
CUST6,2,27.68,1275.88,Month-to-month,Bank transfer,No
CUST7,21,20.42,5374.38,One year,Bank transfer,Yes
CUST8,52,87.04,6036.42,One year,Mailed check,No
CUST9,1,84.18,900.95,Month-to-month,Mailed check,Yes
CUST10,29,61.08,3753.06,One year,Mailed check,No
CUST11,37,68.96,585.56,One year,Credit card,No
CUST12,1,61.54,4793.5,One year,Credit card,No
CUST13,63,22.4,2129.95,One year,Electronic check,No
CUST14,59,53.54,4230.44,Two year,Electronic check,No
CUST15,20,37.71,4149.34,Month-to-month,Mailed check,No
CUST16,32,29.84,7396.35,Two year,Bank transfer,Yes
CUST17,57,115.67,4401.68,Month-to-month,Mailed check,No
CUST18,21,79.94,4672.33,One year,Electronic check,No
CUST19,48,92.87,3225.19,Month-to-month,Bank transfer,Yes
CUST20,58,51.54,7593.66,Month-to-month,Electronic check,No
CUST21,41,59.31,6221.94,One year,Credit card,No
CUST22,59,43.69,2297.53,One year,Mailed check,Yes
CUST23,14,29.7,6756.79,Month-to-month,Mailed check,No
CUST24,61,37.9,3470.52,Month-to-month,Bank transfer,No
CUST25,61,99.75,6632.76,Month-to-month,Mailed check,No
CUST26,46,87.75,6586.65,Two year,Electronic check,No
CUST27,61,74.69,1527.18,Two year,Electronic check,No
CUST28,50,67.51,5615.11,Month-to-month,Credit card,Yes
CUST29,54,112.24,2339.33,Two year,Electronic check,No
CUST30,63,27.27,2393.99,Two year,Bank transfer,No
CUST31,2,48.06,2384.86,Month-to-month,Electronic check,Yes
CUST32,50,54.99,5810.03,One year,Credit card,No
CUST33,6,98.24,1854.01,Month-to-month,Credit card,Yes
CUST34,20,119.25,27.23,One year,Mailed check,No
CUST35,38,44.07,5727.59,Month-to-month,Bank transfer,No
CUST36,17,107.43,1386.05,Month-to-month,Electronic check,Yes
CUST37,3,103.06,853.77,Month-to-month,Credit card,No
CUST38,59,42.47,1915.38,Month-to-month,Electronic check,No
CUST39,13,59.93,3051.61,Two year,Credit card,No
CUST40,8,60.97,3817.73,Month-to-month,Mailed check,No
